Name,Confidence,Object
Jar,69.67767333984375,186004.jpg
Box,64.78520202636719,186004.jpg
Pottery,61.027488708496094,186004.jpg
Person,93.94459533691406,187231.jpg
Human,93.94459533691406,187231.jpg
Box,93.6509017944336,187231.jpg
Pencil Box,93.2410888671875,187231.jpg
Birthday Cake,62.50751876831055,187231.jpg
Food,62.50751876831055,187231.jpg
Dessert,62.50751876831055,187231.jpg
Cake,62.50751876831055,187231.jpg
Treasure,97.25312042236328,187235.jpg
Person,94.62821197509766,187235.jpg
Human,94.62821197509766,187235.jpg
Box,93.30928802490234,187235.jpg
Porcelain,91.25291442871094,187235.jpg
Pottery,91.25291442871094,187235.jpg
Art,91.25291442871094,187235.jpg
Porcelain,99.99974822998047,187239.jpg
Pottery,99.99974822998047,187239.jpg
Art,99.99974822998047,187239.jpg
Purse,92.63392639160156,187239.jpg
Birthday Cake,83.260284423828125,187239.jpg
Food,83.260284423828125,187239.jpg
Meal,75.13800811767578,187239.jpg
Dish,74.29996490478516,187239.jpg
Jar,62.45651626586914,187239.jpg
Saucer,57.547889709472656,187239.jpg
Box,99.89640808105469,187240.jpg
Treasure,91.6626205444336,187240.jpg
Person,79.91239929199219,187240.jpg
Human,79.91239929199219,187240.jpg
Gold,72.3817367553711,187240.jpg
Plant,65.8187484741211,187240.jpg
Label,59.340911865234375,187240.jpg
Text,59.340911865234375,187240.jpg
Furniture,78.56407928466797,187998.jpg
Furniture,97.63447570800781,188002.jpg
Ring,67.2758560180664,188002.jpg
Accessories,67.2758560180664,188002.jpg
Jewelry,67.2758560180664,188002.jpg
Accessory,67.2758560180664,188002.jpg
Box,58.36386489868164,188002.jpg
Person,97.14532470703125,188006.jpg
Human,97.14532470703125,188006.jpg
Art,92.09366607666016,188006.jpg
Painting,84.729827880859375,188006.jpg
Meal,75.30150604248047,188006.jpg
Food,75.30150604248047,188006.jpg
Dish,74.619476318359375,188006.jpg
Pottery,58.385684967041016,188006.jpg
Drawing,55.600738525390625,188006.jpg
Box,99.833770751953125,188007.jpg
Treasure,91.80760955810547,188007.jpg
Buckle,97.0645751953125,188011.jpg
Ring,91.49359893798828,188011.jpg
Jewelry,91.49359893798828,188011.jpg
Accessories,91.49359893798828,188011.jpg
Accessory,91.49359893798828,188011.jpg
Wristwatch,65.7087631225586,188011.jpg
Belt,59.50150680541992,188011.jpg
Purse,96.89989471435547,188012.jpg
Accessories,96.89989471435547,188012.jpg
Bag,96.89989471435547,188012.jpg
Handbag,96.89989471435547,188012.jpg
Accessory,96.89989471435547,188012.jpg
Furniture,90.31488800048828,188012.jpg
Dessert,75.56720733642578,188012.jpg
Food,75.56720733642578,188012.jpg
Cake,65.354827880859375,188012.jpg
Rug,58.50678634643555,188012.jpg
Basket,84.54530334472656,188013.jpg
Ring,70.1494369506836,188013.jpg
Accessories,70.1494369506836,188013.jpg
Jewelry,70.1494369506836,188013.jpg
Accessory,70.1494369506836,188013.jpg
Accessories,93.1351089477539,188781.jpg
Accessory,93.1351089477539,188781.jpg
Ring,92.989959716796875,188781.jpg
Jewelry,92.989959716796875,188781.jpg
Crystal,55.70045471191406,188781.jpg
Person,97.11876678466797,188871.jpg
Human,97.11876678466797,188871.jpg
Accessories,70.81433868408203,188871.jpg
Drawing,68.381072998046875,188871.jpg
Art,68.381072998046875,188871.jpg
Face,66.37995147705078,188871.jpg
Jewelry,64.98804473876953,188871.jpg
Necklace,63.004058837890625,188871.jpg
Photography,62.018123626708984,188871.jpg
Pendant,55.104148864746094,188871.jpg
Jewelry,91.854522705078125,191139.jpg
Accessories,91.854522705078125,191139.jpg
Accessory,91.854522705078125,191139.jpg
Person,88.01875305175781,191139.jpg
Human,88.01875305175781,191139.jpg
Ring,70.638946533203125,191139.jpg
Bronze,57.076629638671875,191139.jpg
Bangles,55.06104278564453,191139.jpg
Gold,96.699066162109375,191836.jpg
Coin,84.841522216796875,191836.jpg
Money,84.841522216796875,191836.jpg
Bronze,76.30985260009766,191836.jpg
Locket,73.3448715209961,191836.jpg
Accessories,73.3448715209961,191836.jpg
Jewelry,73.3448715209961,191836.jpg
Pendant,73.3448715209961,191836.jpg
Accessory,73.3448715209961,191836.jpg
Coin,97.959991455078125,191837.jpg
Money,97.959991455078125,191837.jpg
Nickel,79.3838119506836,191837.jpg
Gold,76.49041748046875,191837.jpg
Coin,91.61750793457031,191838.jpg
Money,91.61750793457031,191838.jpg
Bronze,87.59192657470703,191838.jpg
Gold,85.1625747680664,191838.jpg
Locket,58.711299896240234,191838.jpg
Accessories,58.711299896240234,191838.jpg
Jewelry,58.711299896240234,191838.jpg
Pendant,58.711299896240234,191838.jpg
Accessory,58.711299896240234,191838.jpg
Furniture,99.88783264160156,192877.jpg
Sideboard,92.9822769165039,192877.jpg
Cabinet,79.122314453125,192877.jpg
Silver,73.99432373046875,192877.jpg
Bed,58.807613372802734,192877.jpg
Medicine Chest,58.27735900878906,192877.jpg
Furniture,99.72151184082031,192878.jpg
Silver,81.89125061035156,192878.jpg
Bed,69.4847412109375,192878.jpg
Locket,69.4544677734375,192879.jpg
