objectID,primaryImageSmall,title,objectURL
206405,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_14-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206405
206409,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_8-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206409
206420,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_20-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206420
209306,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_4-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/209306
200386,https://images.metmuseum.org/CRDImages/es/web-large/LC-48_187_427-001.jpg,"Snuffbox with portrait of Catherine II (1729–1796), Empress of Russia",https://www.metmuseum.org/art/collection/search/200386
200390,https://images.metmuseum.org/CRDImages/es/web-large/SF48_187_431.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/200390
193903,https://images.metmuseum.org/CRDImages/es/web-large/LC-17_190_1232.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/193903
193803,https://images.metmuseum.org/CRDImages/es/web-large/ES525.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/193803
193883,https://images.metmuseum.org/CRDImages/es/web-large/LC-17_190_1211-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/193883
206419,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_19-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206419
206411,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_10-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206411
206143,https://images.metmuseum.org/CRDImages/es/web-large/ES2505.jpg,Double snuffbox,https://www.metmuseum.org/art/collection/search/206143
198372,https://images.metmuseum.org/CRDImages/es/web-large/ES1149.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/198372
207213,https://images.metmuseum.org/CRDImages/es/web-large/DT7153.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207213
207212,https://images.metmuseum.org/CRDImages/es/web-large/232925.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207212
207216,https://images.metmuseum.org/CRDImages/es/web-large/232931.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207216
207233,https://images.metmuseum.org/CRDImages/es/web-large/232966.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207233
207229,https://images.metmuseum.org/CRDImages/es/web-large/232962.jpg,Snuffbox or patchbox,https://www.metmuseum.org/art/collection/search/207229
207227,https://images.metmuseum.org/CRDImages/es/web-large/232960.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207227
207235,https://images.metmuseum.org/CRDImages/es/web-large/232970.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207235
207220,https://images.metmuseum.org/CRDImages/es/web-large/232942.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207220
207224,https://images.metmuseum.org/CRDImages/es/web-large/232955.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207224
207226,https://images.metmuseum.org/CRDImages/es/web-large/232958.jpg,Double snuffbox,https://www.metmuseum.org/art/collection/search/207226
207210,https://images.metmuseum.org/CRDImages/es/web-large/ES6445.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207210
207237,https://images.metmuseum.org/CRDImages/es/web-large/232973.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207237
207242,https://images.metmuseum.org/CRDImages/es/web-large/232980.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207242
207223,https://images.metmuseum.org/CRDImages/es/web-large/ES6421.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207223
207219,https://images.metmuseum.org/CRDImages/es/web-large/ES6412.jpg,Snuffbox in the form of a cat,https://www.metmuseum.org/art/collection/search/207219
207234,https://images.metmuseum.org/CRDImages/es/web-large/ES6274.jpg,Snuffbox in the form of a rat,https://www.metmuseum.org/art/collection/search/207234
207211,https://images.metmuseum.org/CRDImages/es/web-large/DT7152.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207211
207209,https://images.metmuseum.org/CRDImages/es/web-large/232919.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207209
207215,https://images.metmuseum.org/CRDImages/es/web-large/DP249460.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207215
207241,https://images.metmuseum.org/CRDImages/es/web-large/DT7161.jpg,Snuffbox in the Form of a Stag,https://www.metmuseum.org/art/collection/search/207241
205873,https://images.metmuseum.org/CRDImages/es/web-large/DP149885.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/205873
207236,https://images.metmuseum.org/CRDImages/es/web-large/232972.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/207236
207225,https://images.metmuseum.org/CRDImages/es/web-large/DP160833.jpg,Snuffbox in the form of a squirrel,https://www.metmuseum.org/art/collection/search/207225
207221,https://images.metmuseum.org/CRDImages/es/web-large/ES6293.jpg,Snuffbox with portrait of Archduchess Maria Anna of Austria (1738–89),https://www.metmuseum.org/art/collection/search/207221
206421,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_21-001.jpg,Double snuffbox,https://www.metmuseum.org/art/collection/search/206421
206630,https://images.metmuseum.org/CRDImages/es/web-large/DP166898.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206630
206831,https://images.metmuseum.org/CRDImages/es/web-large/DP239040.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206831
206406,https://images.metmuseum.org/CRDImages/es/web-large/DP170845.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206406
193896,https://images.metmuseum.org/CRDImages/es/web-large/ES549.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/193896
193869,https://images.metmuseum.org/CRDImages/es/web-large/39677.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/193869
193822,https://images.metmuseum.org/CRDImages/es/web-large/LC-17_190_1138.jpg,Snuffbox with portrait of a woman,https://www.metmuseum.org/art/collection/search/193822
193816,https://images.metmuseum.org/CRDImages/es/web-large/LC-17_190_1128-001.jpg,"Snuffbox with portrait of a man, probably Prinz Karl von Sachsen (1733–1796)",https://www.metmuseum.org/art/collection/search/193816
206413,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_12-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206413
200413,https://images.metmuseum.org/CRDImages/es/web-large/ep48.187.454.R.jpg,"Snuffbox with portrait of a member of the French royal family, probably a daughter of Louis XV",https://www.metmuseum.org/art/collection/search/200413
200389,https://images.metmuseum.org/CRDImages/es/web-large/LC-48_187_430.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/200389
200458,https://images.metmuseum.org/CRDImages/es/web-large/LC-48_187_499-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/200458
206415,https://images.metmuseum.org/CRDImages/es/web-large/LC-1976_155_15-001.jpg,Snuffbox,https://www.metmuseum.org/art/collection/search/206415
207231,https://images.metmuseum.org/CRDImages/es/web-large/232964.jpg,Snuffbox or patchbox,https://www.metmuseum.org/art/collection/search/207231
207218,https://images.metmuseum.org/CRDImages/es/web-large/ES6411.jpg,Double snuffbox,https://www.metmuseum.org/art/collection/search/207218
